case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
4720,10/20/2017,18-0847,fire,hot,IL1017-EXP-1,closed,6169 Knoll Wood Rd,Willowbrook,IL,60527,DuPage,41.7767415,-87.9527196,"Fire/explosion due to gasoline spillage from tanker into the sewer system. 
1 individual hospitalized 
6165 6167 and 6169 knoll wood displaced
32 units total
Shelter being opened at Hinsdale South High School 7401 s Claredon hills Road in Darian IL

The explosion occurred in 6167 Knollwood Rd.  In the laundry room which caused windows to blowout. The clients in 6167 had no idea when they could go back in their units. On each side of 6167, those addresses are 6165 and 6169, those people were being told that they could go back in a week or so. Major damage did not happen in all 32 units only maybe three. The three addresses are going to have their gas and electric off for at least a week, per the fire department.

The Speedway Company has been on site providing lodging and other assistance to those impacted. DCA for not livable issued to clients. See client tab.",0,3,0,29,1,1,0,20,3,9,2875,10/20/2017 15:08,10/20/2017 16:32,10/20/2017 16:53,10/20/2017 17:15,10/21/2017 22:53
4721,10/20/2017,18-0852,fire,hot,IL1017-FIR-100,closed,18027 Kostner Ave,Country Club Hills,IL,60478,Cook,41.5616324,-87.7230872,Alerted to a working house fire via IPN.,0,1,0,0,0,0,0,2,0,1,670,10/20/2017 19:01,10/20/2017 19:01,10/20/2017 19:16,NA,10/20/2017 21:29
4722,10/20/2017,18-0855,fire,hot,IL1017-FIR-102,closed,4 Timber Ridge St,Streator,IL,61364,LaSalle,41.1345007,-88.8448649,alerted to fire via red cross responder,1,0,0,0,0,0,0,2,4,1,1260,10/20/2017 22:50,10/20/2017 22:50,10/20/2017 22:52,10/20/2017 23:21,10/21/2017 0:30
4723,10/20/2017,18-0858,fire,hot,IL1017-FIR-118,closed,13358 S Corliss Ave,Riverdale,IL,60827,Cook,41.6535764,-87.6027774,"Fire occurred in row houses at 13358 (upper unit) and affected 13360 (lower unit). 

alerted to apartment fire via radioman 911",1,0,1,0,0,2,0,4,0,2,350,10/21/2017 0:04,10/21/2017 0:06,10/21/2017 0:23,10/21/2017 1:22,10/21/2017 1:42
4724,10/21/2017,18-0861,fire,cold,IL 1017-FIR-141,closed,13319 S Richmond Ave,Robbins,IL,60472,Cook,41.650139,-87.6927522,"Post alert to working fire in a 2 story dwelling via IPN: family of 1 adult, 3 children impacted by fire. Mother in hospital and children to be under grandmother's care. Assistance requested to enable guardianship and financial support of children.",0,1,0,0,0,1,0,1,3,1,375,10/21/2017 17:15,10/21/2017 17:16,10/27/2017 15:35,10/27/2017 18:30,10/27/2017 19:30
4725,10/21/2017,18-0862,fire,hot,ZZ1017-FIR-163,closed,541 W Briar Pl,Chicago,IL,60657,Cook,41.9384576,-87.6436775,"Alerted to a house fire at 541 w briar place in Chicago via social media.

Client declined assistance due to small nature of fire and that client not displaced.",0,0,0,1,0,0,0,0,0,0,NA,10/21/2017 21:55,10/21/2017 21:58,10/21/2017 22:20,NA,10/22/2017 1:03
4726,10/21/2017,18-0865,fire,hot,ZZ1017-FIR-162,closed,1516 N Lotus Ave,Chicago,IL,60651,Cook,41.9081689,-87.7624545,"Alerted to a working fire via social media.

Angie called when departing scene, no ARC assistance was needed.",0,0,0,0,0,0,0,0,0,0,NA,10/22/2017 4:26,10/22/2017 4:27,10/22/2017 4:30,10/22/2017 5:00,10/22/2017 5:30
4727,10/21/2017,18-0866,fire,hot,IL1017-FIR-104,closed,4948 W Washington Blvd,Chicago,IL,60644,Cook,41.8820211,-87.7497357,Alerted to a working house fire via social media.,0,0,1,0,0,0,0,3,3,2,300,10/22/2017 4:52,10/22/2017 4:52,10/22/2017 5:00,10/22/2017 5:30,10/22/2017 6:19
4728,10/22/2017,18-0869,fire,hot,IL1017-FIR-106,closed,389 S Westgate Rd,Des Plaines,IL,60016,Cook,42.0458662,-87.9184614,Got a called from a John Pluta (EMA with Des Plaines) saying that he was on scene at a fire and Red Cross services were needed.,1,0,0,0,0,3,0,4,0,1,780,10/22/2017 14:43,10/22/2017 15:06,10/22/2017 15:06,10/22/2017 16:33,10/22/2017 17:45
4729,10/22/2017,18-0871,fire,hot,IL1017-FIR-110,closed,4410 Doris Ave,Rockford,IL,61101,Winnebago,42.2868738,-89.1535716,"Northwest FPD | Rockford | 2nd Alarm | 4410 Doris | Structure Fire. FNC,317",0,1,0,0,0,0,0,2,3,1,965,10/22/2017 23:46,10/22/2017 23:46,10/22/2017 23:51,10/23/2017 0:34,10/23/2017 1:50
4730,10/22/2017,18-0872,fire,hot,IL1017-FIR-111,closed,1914 Colfax St,Evanston,IL,60201,Cook,42.0606036,-87.6994813,"Kitchen fire starting with the stove. Husband went to hospital due to smoke inhalation. Insurance claim started.

Evanston, IL (Cook County)| 1 Alarm Fire| 1914 Colfax St| Batt 21 o/s with heavy fire in the rear of a structure. MABAS Box 625 to a Box Alarm",0,1,0,0,0,1,0,2,0,1,530,10/22/2017 22:52,10/22/2017 22:53,10/22/2017 22:59,10/23/2017 0:12,10/23/2017 1:45
4731,10/23/2017,18-0878,fire,hot,IL1017-FIR-116,closed,11711 Yorktown Rd,Lyndon,IL,61261,Whiteside,41.7539495,-89.8626128,State Dept of Illinois has called in requesting assistance for 1 adult due to house fire,1,0,0,0,1,0,0,1,0,0,127,10/23/2017 17:03,10/23/2017 17:04,10/23/2017 17:58,10/23/2017 18:41,10/23/2017 20:30
4732,10/23/2017,18-0880,vacate,hot,IL1017-BDC-1,closed,847 Montgomery Rd,Montgomery,IL,60538,Kane,41.7314344,-88.2956202,"Call received from Serv-Pro with information of a car crash into building. Units A & B affected. Village building inspector has declared building uninhabitable. Vehicle impacted main structural support beam.
4 adults and 2 children displaced. DCA provided to two families.",0,2,0,0,0,0,0,4,2,2,1090,10/24/2017 0:42,10/24/2017 0:42,10/24/2017 0:57,NA,10/24/2017 3:06
4733,10/23/2017,18-0881,fire,hot,ZZ1017-FIR-114,closed,3917 W Polk St,Chicago,IL,60624,Cook,41.8705204,-87.7235692,Report of fire on roof. OEM verified address and that the building was occupied. Responders arrived and were told by FD the building was vacant. No DCA provided. No other buildings involved.,0,0,0,0,0,0,0,0,0,0,NA,10/24/2017 1:54,10/24/2017 2:07,10/24/2017 2:25,NA,10/24/2017 3:06
4734,10/24/2017,18-0885,fire,hot,IL1017-FIR-122,closed,10845 Harlem Ave,Worth,IL,60482,Cook,41.6940581,-87.7972218,"Worth, IL (Cook County)| Working Fire| 10845 S. Harlem Ave| NPFD units o/s rptg smoke showing from the 2nd floor of a 2 story apartment bldg.

Responders assisted one unit 1S  but all four units would qualify for assistance, if change minds and request help.
Unit 1N  Peter Fitak 2 adults (Manager of apts)
Unit  2N Hung Nguyed 2 adults 773-387-7041
Unit 2S Ahmed Darsasi 2 adults, 1 child 708-477-1707",0,0,4,0,0,0,0,7,1,3,1840,10/24/2017 15:05,10/24/2017 15:11,10/24/2017 15:44,10/24/2017 16:30,10/24/2017 18:18
4735,10/24/2017,18-0886,fire,cold,OK1017-FIR-74,closed,2111 Claude Bailey Pkwy,Princeton,IL,61356,Bureau,41.396482,-89.4634378,"Mobile home fire. Family of 7 from Hugo, OK, stranded in Walmart Parking lot in Princeton. Response team provided DCA and blankets for family.",1,0,0,0,0,0,0,2,5,1,1215,10/24/2017 16:09,10/24/2017 17:11,10/24/2017 17:13,10/24/2017 17:30,10/24/2017 18:26
4736,10/24/2017,18-0888,fire,cold,IL1017-FIR-123,closed,7489 E 1st St,Sun River Terrace,IL,60964,Kankakee,41.124141,-87.730463,"Client Antonio Wells at 815-212-6768 called to request Red Cross assistance due to a fire at 7489 E 1st Street, Sun River Terrace IL early this morning, 10/23/2017.  Response team provided DCA and  comfort kit.",0,1,0,0,0,0,0,1,0,1,295,10/24/2017 18:47,10/24/2017 18:54,10/24/2017 19:19,10/24/2017 19:48,10/24/2017 20:14
4737,10/24/2017,18-0889,fire,hot,IL1017-FIR-124,closed,7643 S Bishop St,Chicago,IL,60620,Cook,41.7545784,-87.6600037,"IPN Chicago, IL (Cook County)| Still Alarm Fire| 7643 S Bishop St| BN19 o/s fire attic of 1 story ordinary 25x75, 1 LSO, T50 to the roof| 16:49

1.5 story SFH, fire started in back bedroom. Roof vented windows out. Not livable",0,1,0,0,0,0,0,1,0,1,405,10/24/2017 21:56,10/24/2017 21:58,10/24/2017 22:11,NA,10/24/2017 23:36
4738,10/25/2017,18-0896,fire,hot,IL1017-FIR-131,closed,159 N Wildwood Ave,Kankakee,IL,60901,Kankakee,41.1200445,-87.8542931,"Capt Mike Casigarandeof Kankakee FD phoned to request Red Cross response to displaced family by court order due previous fire damage. Gathing Family can be reached at 815-450-7436 for ETA.  Captain says Red Cross volunteer Marty Knight has already advised him that he is available to meet with family.  

There was a previous fire. Responded to a furnace fire yesterday; due to issues at home they had to evict the family with court order. ARC  will provide limited support. FD providing hotel; it will probably be a week stay. We are only providing immediate assistance for family of four. Evaluation will be made on site regarding health/ mental follow up needs.",0,1,0,0,0,0,0,4,0,0,500,10/25/2017 20:56,10/25/2017 20:56,10/25/2017 21:06,10/25/2017 22:02,10/25/2017 23:06
4739,10/25/2017,18-0899,fire,hot,IL1017-FIR-132,closed,421 State St,Ottawa,IL,61350,LaSalle,41.3375277,-88.8404346,House fire,0,1,0,0,0,0,0,2,2,1,670,10/26/2017 2:14,10/26/2017 2:16,10/26/2017 2:27,10/26/2017 3:46,10/26/2017 4:36
4740,10/26/2017,18-0900,fire,hot,IL1017-FIR-134,closed,9110 S Urban Ave,Chicago,IL,60619,Cook,41.728824,-87.623007,Fire in Duplex,0,0,1,0,0,0,0,1,1,1,530,10/26/2017 12:06,10/26/2017 12:46,10/26/2017 12:55,NA,10/26/2017 15:27
4741,10/26/2017,18-0901,fire,hot,ZZ1017-FIR-165,closed,1458 N Wieland St,Chicago,IL,60610,Cook,41.9093607,-87.6358677,Working Fire- See timeline for details for residents.,0,2,0,0,0,0,0,0,0,0,NA,10/26/2017 14:13,10/26/2017 14:22,10/26/2017 14:48,NA,10/26/2017 16:06
4742,10/26/2017,18-0902,fire,hot,IL1017-FIR-135,closed,1415 Overdene Ave,Rockford,IL,61103,Winnebago,42.3033581,-89.0818571,Eight unit apartment fire in Rockford.  Our RC assistance was requested by the Rockford FD.  Four person team responded and provided DCA to all families present.  Any further clients with ID will qualify for nonlivable and lodging.  All utilities have been turned off.,0,6,2,0,1,1,0,20,5,8,4651,10/26/2017 18:02,10/26/2017 18:03,10/26/2017 18:13,10/26/2017 18:46,10/26/2017 22:20
4743,10/26/2017,18-0904,fire,hot,IL1017-FIR-136,closed,3900 W Chicago Ave,Chicago,IL,60651,Cook,41.8955821,-87.7237821,"Chicago, IL (Cook County)| Still Alarm Fire| 3900 Chicago Ave at Springfield Ave| Batt 18 o/s with a fire in a 3 story building. 1 line working| 18:57

Officer Pulkownik called RC dispatch to report 3 displacements. Man, Woman and child.",0,1,0,0,0,0,0,2,1,1,655,10/27/2017 0:08,10/27/2017 0:47,10/27/2017 0:47,10/27/2017 1:41,10/27/2017 2:28
4744,10/26/2017,18-0905,not_eligible_for_services,hot,ZZ1017-OTH-67,closed,2457 W Lexington St,Chicago,IL,60612,Cook,41.8718244,-87.6883637,"Candace Beckwood (773.826.2363) contacted us. She had a baby on October 24th and came home from the hospital to a flooded home. There are 2 other children in the home as well. She is currently at her Grandmother's house at 3820 W. Monroe.

DAT responded and determined this was a LL/tenant issue. No assistance issued.",0,0,0,1,0,0,0,0,0,0,NA,10/27/2017 2:00,10/27/2017 2:00,10/27/2017 2:05,NA,10/27/2017 3:16
4745,10/26/2017,18-0906,fire,hot,IL1017-FIR-138,closed,730 N Long Ave,Chicago,IL,60644,Cook,41.8939009,-87.7609589,"Notification via Twitter. Working fire. Call from OEMC -6 adults and 5 children.

Fire started in basement and spread upward with major damage to basement. 1st floor and 2nd floor major water and smoke damage.

Red Cross provided services to 11 people on scene.",0,1,0,0,0,0,0,6,5,1,2635,10/27/2017 4:59,10/27/2017 5:03,10/27/2017 5:16,NA,10/27/2017 8:10
4746,10/27/2017,18-0908,fire,hot,ZZ1017-FIR-166,closed,9515 S Oglesby Ave,Chicago,IL,60617,Cook,41.722018,-87.565546,"Via Twitter: House fire. Resident son decline Red Cross services and staying with relative.
DAT Responder left Red Cross's booklet and referral list in case he changes his mind later. 1.5 story SFH, major damage, windows out, utilities off. Not livable.

See timeline for more details.",0,1,0,0,0,0,0,2,0,1,NA,10/27/2017 10:01,10/27/2017 10:53,10/27/2017 10:54,10/27/2017 11:18,10/27/2017 11:52
4747,10/27/2017,18-0909,fire,hot,IL1017-FIR-143,closed,7837 S Dobson Ave,Chicago,IL,60619,Cook,41.7520501,-87.5988644,Chicago | WRKF | 7837 S Dobson | Structure Fire.,0,1,0,0,0,0,0,2,0,1,776,10/28/2017 0:42,10/28/2017 0:57,10/28/2017 0:58,10/28/2017 1:52,10/28/2017 2:58
4748,10/27/2017,18-0910,fire,cold,IL1017-FIR-145,closed,1020 Bonnie Brook Ln,Round Lake Beach,IL,60073,Lake,42.3648153,-88.1083082,"Notified of working house fire via social media. 
Round Lake, IL - Bonnie Brook Ln and Long Lake Dr - Heavy Fire Showing
Round Lake FD will call back if assistance is needed.  Called FD.  No services needed.
Client called 5 hours later asking for assistance. She said she was not home at the time of the fire.",0,1,0,0,0,0,0,1,3,1,1185,10/28/2017 1:07,10/28/2017 1:25,10/28/2017 1:25,10/29/2017 14:20,10/29/2017 14:20
4749,10/27/2017,18-0911,fire,hot,IL1017-FIR-144,closed,3345 W Carroll Ave,Chicago,IL,60624,Cook,41.8872649,-87.7104607,"Youngblood from OEMC called dispatch.  FD Battalion Chief 18 requesting Red Cross services for 4 displaced adults at 3345 W. Carroll Ave, Chicago. 

RC provided immediate assistance for 3 adults, 1 child affected by a fire in a single family home.  (food and clothing)",0,1,0,0,0,0,0,3,1,1,566,10/28/2017 4:00,10/28/2017 4:01,10/28/2017 4:11,10/28/2017 5:27,10/28/2017 6:15
4750,10/28/2017,18-0913,fire,hot,ZZ1017-FIR-167,closed,207 S Wasson St,Streator,IL,61364,LaSalle,41.1188876,-88.8283882,"Fire was called in by Randy Kirchner, ARC responder",0,1,0,0,0,0,0,2,2,1,NA,10/28/2017 18:27,10/28/2017 18:28,10/28/2017 18:43,10/28/2017 18:44,10/28/2017 18:45
4751,10/28/2017,18-0915,fire,hot,IL1017-FIR-147,closed,4343 W Wilcox St,Chicago,IL,60624,Cook,41.8785206,-87.7346102,"Notification via Twitter with the following message: 
""WORKING FIRE 
4343 W WILCOX 
FIRE ON 2 OF A FRAME""
",0,1,1,0,0,0,0,4,5,2,1685,10/29/2017 2:54,10/29/2017 3:10,10/29/2017 3:10,10/29/2017 3:51,10/30/2017 4:55
4752,10/29/2017,18-0916,fire,hot,25283007,closed,923 N Humphrey Ave,Oak Park,IL,60302,Cook,41.9028894,-87.7768379,"Elena Plesent, resident, was displaced due to a fire that occurred at 8:00pm. Elena Present is 773-368-7977. 3 adults were displaced. 

Individuals displaced include the following: Justin Pleasant (provided assistance), Elena Pleasant and Angel Pleasant.",0,1,0,0,0,0,0,1,0,1,405,10/29/2017 5:44,10/29/2017 5:53,10/29/2017 5:56,10/29/2017 6:45,10/29/2017 7:20
4753,10/29/2017,18-0917,fire,hot,NA,closed,316 W 112th Pl,Chicago,IL,60628,Cook,41.6899525,-87.6309577,"Confirmed residential fire,home vacant and no displacements. 

Notification - Social media Twitter: Chicago Incidents‏ @CFD_FD 316 W 112th pl a fire",0,0,1,0,0,0,0,0,0,0,NA,10/29/2017 9:23,10/29/2017 9:24,10/29/2017 9:37,10/29/2017 10:15,10/29/2017 10:25
4754,10/29/2017,18-0922,fire,hot,IL1017-FIR-156,closed,427 E 113th St,Chicago,IL,60628,Cook,41.688857,-87.6120849,"STILL AND BOX ALARM
427 E 113TH ST 
FIRE IN BASEMENT AND 1 ST FLOOR
6 unit apartment building. Only 2 units occupied by tenants. Other units were used by owner for storage etc. 
Services provided to client in unit 3W. Door hangar left for the other tenant who was not on scene. 

",0,6,0,0,0,0,0,1,0,1,810,10/29/2017 21:22,10/29/2017 21:30,10/29/2017 21:30,10/29/2017 22:28,10/29/2017 23:15
4755,10/29/2017,18-0926,fire,hot,IL1017-FIR-157,closed,5042 N Winthrop Ave,Chicago,IL,60640,Cook,41.974526,-87.658157,"Catholic Charities altered ARC to Apartment Fire located at
5042 N WINTHROP AVENUE in CHICAGO.
OEMC confirmed, no additional information available.
Property management requested assistance for 2 displaced adult males. 

Multi-unit apartment complex. Fire originated in kitchen. 
Sprinkler system did not engage in affected apartment. Would not deactivate once engaged in remainder of building. 
Fire and smoke damage, water damage throughout. 
Not livable per CFD and ARC.

ARC responded, providing immediate assistance and lodging to 2 adults.",0,1,1,0,0,0,0,2,0,2,735,10/30/2017 0:55,10/30/2017 1:20,10/30/2017 1:42,10/30/2017 1:50,10/30/2017 2:34
4756,10/30/2017,18-0927,fire,hot,ZZ1017-FIR-168,closed,1735 S Halsted St,Chicago,IL,60608,Cook,41.8580863,-87.6463933,"Working fire.

No one on scene house is livable.",0,0,0,1,0,0,0,0,0,0,NA,10/30/2017 8:15,10/30/2017 8:16,10/30/2017 8:46,10/30/2017 9:19,10/30/2017 9:24
4757,10/30/2017,18-0929,fire,hot,IL1017-FIR-159,closed,7245 S University Ave,Chicago,IL,60619,Cook,41.762827,-87.596631,"Working fire in a vacant house with damage to SFH next door. 

Red Cross provided services to 2 adults. See timeline for more details.",0,0,2,0,0,0,0,3,2,2,530,10/30/2017 8:41,10/30/2017 8:59,10/30/2017 9:18,10/30/2017 10:04,10/30/2017 11:23
4758,10/30/2017,18-0930,fire,hot,IL1017-FIR-158,closed,525 Powell St,Streator,IL,61364,LaSalle,41.11365,-88.8199762,Call from Livingston FD requesting assistance for 1 adult displaced in fire,0,0,1,0,0,0,0,1,0,1,125,10/30/2017 8:40,10/30/2017 8:40,10/30/2017 9:22,10/30/2017 9:30,10/30/2017 10:37
4759,10/30/2017,18-0932,fire,hot,IL1017-FIR-160,closed,546 N Albany Ave,Chicago,IL,60612,Cook,41.8917076,-87.7042349,CF OEMC reporting fire and requesting assistance for 3 adults,0,0,1,0,0,0,0,2,1,1,655,10/30/2017 9:48,10/30/2017 9:49,10/30/2017 9:56,10/30/2017 10:15,10/30/2017 11:26
4760,10/30/2017,18-0933,fire,hot,IL1017-FIR-161,closed,9322 S Woodlawn Ave,Chicago,IL,60619,Cook,41.7251231,-87.5951433,Working fire,0,0,1,0,0,0,0,3,0,1,150,10/30/2017 10:14,10/30/2017 10:15,10/30/2017 10:43,10/30/2017 11:37,10/30/2017 12:10
4761,10/30/2017,18-0936,fire,hot,IL1017-FIR-162,closed,2137 N Western Ave,Chicago,IL,60647,Cook,41.920937,-87.6872175,3 story brick building. 1st floor commercial. 2nd floor minor damage livable. 3rd floor not livable due to not utilities. ARC provided CAC to 2 adults on 3rd floor.,0,0,1,1,0,0,0,2,0,1,530,10/30/2017 13:21,10/30/2017 13:23,10/30/2017 13:32,10/30/2017 14:44,10/30/2017 15:34
4762,10/31/2017,18-0938,fire,hot,IL1017-FIR-168,closed,5117 W 29th St,Cicero,IL,60804,Cook,41.8399985,-87.7530377,"Multi-Unit fire that has spread to adjacent building.
5118-5121 W 26th st
Assistance requested by Cicero FD/PD for multiple families displaced. 

Assistance give to 3 out of 4 families and casework cases created for all 4.
Fourth family assisted one day later, 11/1/2017.",1,2,0,0,0,4,0,17,5,5,3370,10/31/2017 8:30,10/31/2017 9:02,10/31/2017 9:23,NA,10/31/2017 12:25
4763,10/31/2017,18-0939,fire,hot,IL1017-FIR-170,closed,1627 N Linder Ave,Chicago,IL,60639,Cook,41.9102668,-87.762732,"Twitter: Working fire

One family assisted. other declined services. First floor not liveable. utilities out electric and gas. water damage throughout bldg.",0,0,1,2,0,0,0,1,1,1,530,10/31/2017 15:28,10/31/2017 15:40,10/31/2017 15:40,10/31/2017 16:06,10/31/2017 17:03
4764,10/31/2017,18-0941,fire,hot,ZZ1017-FIR-169,closed,2976 N Wisner Ave,Chicago,IL,60618,Cook,41.9352175,-87.7128154,"Working fire

3.5 story house, basement, 2 floors plus attic. Mattress fire started on 2nd floor. Landlord lives below on first floor and declined services. OFI stated",0,0,0,1,0,0,0,0,0,0,NA,11/1/2017 1:08,11/1/2017 1:10,11/1/2017 1:18,11/1/2017 1:32,11/1/2017 2:01
4765,11/1/2017,18-0942,fire,hot,IL1117-FIR-1,closed,4942 S Damen Ave,Chicago,IL,60609,Cook,41.8035663,-87.6747952,"Chicago, IL (Cook County)| Still Alarm Fire| 4942 S Damen Ave| CFD o/s fire in a 2 1/2 story ordinary dwelling.  One family of 9 provided DCA and comfort on scene.  Spanish speaking.",0,1,0,0,0,0,0,7,2,1,1965,11/1/2017 15:01,11/1/2017 15:02,11/1/2017 15:07,11/1/2017 15:39,11/1/2017 17:52
4766,11/1/2017,18-0944,fire,hot,IL1117-FIR-3,closed,5846 S Indiana Ave,Chicago,IL,60637,Cook,41.7878877,-87.6209972,Fire on third floor,0,2,0,0,0,0,0,3,0,2,950,11/2/2017 2:16,11/2/2017 2:17,11/2/2017 2:24,11/2/2017 2:56,11/2/2017 5:07
4767,11/2/2017,18-0945,fire,hot,IL1117-FIR-5,closed,539 N Leamington Ave,Chicago,IL,60644,Cook,41.8904596,-87.7539188,"E117 E96 TL14 T29 BC18
WORKING FIRE 
539 N LEAMINGTON

Per responders: 2 story apartment, fire started on 1st floor bedroom. Mattress fire, mattress was dragged out of bedroom to kitchen , bedroom is fine, kitchen back door is a little scortched. Rest of the kitchen functional. All windows intact, all utilities working. House is livable. 5 residents received assistance; 3 other adult guests staying in unit. 2nd floor has very light smoke, fully livable, does not qualify for services. No health services or DMH needed.",0,0,0,1,0,0,0,2,3,1,250,11/2/2017 7:38,11/2/2017 8:03,11/2/2017 8:10,NA,11/2/2017 9:23
4768,11/2/2017,18-0946,fire,hot,IL1117-FIR-6,closed,2238 W Farwell Ave,Chicago,IL,60645,Cook,42.0065551,-87.6875762,"Alerted to fire by client in Unit 1A of a 3 unit, 3 story building.

DCA was provided to 5 adults and 1 child.",1,2,0,0,0,0,0,5,1,3,1310,11/2/2017 13:49,11/2/2017 13:49,11/2/2017 14:05,NA,11/2/2017 16:34
4769,11/2/2017,18-0947,fire,hot,ZZ1117-FIR-91,closed,1237 W Wellington Ave,Chicago,IL,60657,Cook,41.935896,-87.660351,"Alerted to fire by IPN. 2 story coach house.

Responders met with residents affected by fire who declined services at this time",0,0,0,1,0,0,0,0,0,0,NA,11/2/2017 16:10,11/2/2017 16:11,11/2/2017 16:21,11/2/2017 17:30,11/2/2017 18:06
4770,11/2/2017,18-0950,fire,cold,IL1117-FIR-8,closed,5409 East Dr,Loves Park,IL,61111,Winnebago,42.3092455,-89.0655636,"Mark, Loves Park FD dispatch called to say that family of 6 has been displaced in sfh fire. Red Cross provided DCA to family of 6 adults.",0,1,0,0,0,0,0,6,0,1,750,11/2/2017 22:20,11/2/2017 22:21,11/2/2017 22:27,11/2/2017 23:00,11/2/2017 23:15
4771,11/2/2017,18-0952,fire,hot,ZZ1117-FIR-89,closed,1030 N California Ave,Chicago,IL,60622,Cook,41.9002426,-87.6971175,Alerted to a working fire at 1030 N California via social media. 3 Story apartment building.  Smoke from basement.,0,0,0,1,0,0,0,2,0,1,NA,11/3/2017 3:03,11/3/2017 3:40,11/3/2017 3:43,NA,11/3/2017 4:19
4772,11/3/2017,18-0953,fire,hot,ZZ1117-FIR-92,closed,3042 N Ashland Ave,Chicago,IL,60657,Cook,41.9373499,-87.6689247,"Chicago, IL (Cook County)| Still Alarm Fire| 3042 N Ashland Ave| CFD has a fire in an occopied 3 story bruick bldg| 08:44

Ryan at OEMC confirms a first floor back porch fire in an apartment complex. No word on displacements. 

Manager: Santiago Estrella 773-671-3042   Last name on mailbox of basement apartment: Tule, Estrella 

",0,0,0,1,0,0,0,0,0,0,NA,11/3/2017 14:04,11/3/2017 14:05,11/3/2017 14:09,11/3/2017 15:23,11/3/2017 15:44
4773,11/3/2017,18-0954,fire,hot,IL1117-FIR-12,closed,2530 S Main St #68,Rockford,IL,61102,Winnebago,42.2453379,-89.1085912,"Rockford, IL (Winnebago County)| Working Fire| 2500 S Main St| Rockford Fire o/s of a fully involved mobile home fire. W/F dispatched.| 08:55

RFD did not call.

Client's relative called, Beth Smith 815-262-1951. Her Uncle Randal Smith is hospitalized from the fire. His daughter Kandy Johnson is distraught and with him.  
",1,0,0,0,1,1,0,1,0,1,442,11/3/2017 14:52,11/3/2017 14:55,11/3/2017 15:20,11/3/2017 16:00,11/3/2017 16:30
4774,11/3/2017,18-0956,fire,hot,IL1117-FIR-43,closed,4119 N Ozark Ave,Norridge,IL,60706,Cook,41.9548889,-87.8204885,Norwood Park FPD | Norridge | WRKF | 4119 N Ozark | Structure Fire. 317,0,1,0,0,0,0,0,2,2,1,920,11/3/2017 17:46,11/10/2017 21:38,11/10/2017 21:38,NA,11/10/2017 21:38
4775,11/3/2017,18-0957,fire,cold,IL1117-FIR-14,closed,500 Price Ave,Calumet City,IL,60409,Cook,41.6218855,-87.5375157,Social Worker from HS called on behalf of family displaced from home fire. 2 Adults and 4 children. Currently staying in a hotel in Hammond IN,0,1,0,0,0,0,0,2,4,1,750,11/3/2017 17:53,11/3/2017 18:04,11/3/2017 18:04,NA,11/3/2017 21:05
4776,11/3/2017,18-0959,fire,hot,IL1117-FIR-16,closed,166 N Lamon Ave,Chicago,IL,60644,Cook,41.883764,-87.7481411,"166 N Lamon, Austin neighborhood, multi-family 2 story apartment building built in 1913 impacted by extensive brick damage from fire. Media on scene due to firefighter  transported to Stroger with non life threatening injuries. OEMC indicates 1st floor 1 F adult with 3 kids, 2nd floor 2 seniors, 1M 1F. Cause of fire under investigation. CAC provided to 3 clients - basement level, 1st, and 2nd floors. Building destroyed.",3,0,0,0,0,0,0,4,3,3,2185,11/3/2017 20:52,11/3/2017 20:54,11/3/2017 21:22,11/3/2017 22:43,11/4/2017 0:06
4777,11/4/2017,18-0962,fire,hot,ZZ1117-FIR-93,closed,4325 W Haddon Ave,Chicago,IL,60651,Cook,41.9014205,-87.7346759,"Alerted to fire via twitter

Responders on scene report no need for response.",0,0,0,0,0,0,0,0,0,0,NA,11/4/2017 15:33,11/4/2017 15:41,11/4/2017 16:00,11/4/2017 17:03,11/4/2017 17:09
4778,11/4/2017,18-0965,fire,hot,IL1117-FIR-20,closed,642 N Dearborn Ave,Kankakee,IL,60901,Kankakee,41.1270358,-87.8609244,"related to incident 18-0963, second SFH home affected",0,1,0,0,0,0,0,2,2,1,1340,11/4/2017 18:20,11/4/2017 18:20,11/4/2017 18:20,11/4/2017 18:20,11/4/2017 18:40
4779,11/5/2017,18-0975,fire,hot,ZZ1117-FIR-26,closed,695 N Milwaukee Ave,Chicago,IL,60642,Cook,41.8943863,-87.6521681,Alerted to fire via twitter - Commercial building with no residents or displacements.,0,1,0,0,0,0,0,0,0,0,NA,11/6/2017 4:35,11/6/2017 5:02,11/6/2017 5:14,NA,11/6/2017 6:14
4780,11/5/2017,18-0976,fire,hot,ZZ1117-FIR-32,closed,6629 S Artesian Ave,Chicago,IL,60629,Cook,41.7728964,-87.6844129,"Via Twitter:  working fire. Correct address 6629 S Artesian Ave. Building is abandon, possible squatters living in the building.",0,1,0,0,0,0,0,0,0,0,NA,11/6/2017 6:04,11/6/2017 6:06,11/6/2017 6:16,NA,11/6/2017 8:15
